serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
175,AFMC 2021-2022,জিহ্বার কোন অংশে লবণাক্ত স্বাদ অনুভূত হয়?,পশ্চাৎদেশ,মধ্যভাগ,শীর্ষভাগ,পার্শ্বদেশ,D,"জিহ্বার অগ্রভাগে মিষ্টতা, পার্শ্বদেশে লবণণক্ষতা পশ্চাৎভাগের দুইপাশে অম্লতা ও পিছনে তিক্ততা অনুভূত হয়।"
176,AFMC 2021-2022,"চিকিৎসা বিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Obesity,Geriatrics,Bariatrics,Pediatrics,C,"ভুলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয় Bariatrics শাখায়।"
177,AFMC 2021-2022,নিচের কোনটি হ্যাগফিশ (Hagfish) নামে পরিচিত?,Agnatha,Larvacea,Myxini,Thaliacea,C,Myxini শ্রেনিভূক্ত প্রানীগুলোকে হ্যাগফিশ বলে।
178,AFMC 2021-2022,"চিকিৎসা বিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Obesity,Geriatrics,Bariatrics,Pediatrics,C,"ভুলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয় Bariatrics শাখায়।"
179,AFMC 2021-2022,নিচের কোনটি মেগাক্যারিওসাইট (Megakaryocytes) থেকে উৎপত্তি লাভ করে?,মনোসাইট,লিম্ফোসাইট,থ্রোম্বোসাইট,লিউকোসাইট,C,অস্থিমজ্জার (Megakaryocytes) উৎপত্তি লাভ করে। মেগাক্যারিওসাইট থেকে থ্রোম্বোসাইট
180,AFMC 2021-2022,গলগণ্ড রোগ হয় কোনটির অভাবে?,Zink,Iron,lodin,Calcium,C,আয়োডিনের অভাবে গলগন্ড রোগ হয়।
181,AFMC 2021-2022,একটি জিন অন্য জিনের কার্যকারিতা প্রকাশে বাধা দেয়ার প্রক্রিয়াকে কি বলে?,Hypostasis,Codominance,Homologous,Epistasis,D,একটি জিন অন্য জিনের কার্যকরিতা প্রকাশে বাধা দেয়ার প্রক্রিয়াকে এপিস্ট্যাসিস বলে।
182,AFMC 2021-2022,কোন প্রানির হৃৎপিন্ডকে ভেনাস হার্ট বলে?,মানুষ,হাইড্রা,রুই মাছ,ঘাস ফড়িং,C,কেবল CO₂ সমৃদ্ধ রক্ত পরিবহন করে বলে রুই মাছের হৃৎপিন্ডকে ভেনাস হার্ট বলে।
183,AFMC 2021-2022,কোন ভিটামিন কোলেস্টেরল থেকে উৎপন্ন হয়?,Vit-D,Vit-A,biotin.,Vit-E,A,কোলেস্টেরল থেকে Vit-D উৎপন্ন হয়।
184,AFMC 2021-2022,নিচের কোনটি সঠিক-,মাইটোকন্ড্রিয়ার ৯০% চর্বি,প্রোটিন সঞ্চয় করে ইলায়োপ্ল্যাস্ট,শর্করা সঞ্চয় করে অ্যামাইলোপ্লাস্ট,সবগুলো সঠিক,C,শর্করা জাতীয় খাদ্য লিউকোপ্লাস্টকে অ্যামাইলোপ্লাস্ট এবং প্রোটিন জাতীয় খাদ্য সঞ্চয়কারী লিউকোপ্লাস্টকে অ্যালিউরোপ্লাস্ট বলে।
185,AFMC 2021-2022,এক জোড়া ক্রোমোসোম এক সাথে অবস্থান করলে তাকে কি বলে?,হোমোলোগাস,অ্যালিল,হেটারোজাইগাস,হোমোজাইগাস,B,নির্দিষ্ট লোকাসে অবস্থানকারী জিনজোড়ের একটিকে অপরটির অ্যালিল বলে।
186,AFMC 2021-2022,কোন অঙ্গাণু তে নিজস্ব ডিএনএ পাওয়া যায়?,নিউক্লিয়াই,মাইটোকনড্রিয়া,গলগী বডি,রাইবোজম,B,মাইটোকন্ড্রিয়াতে নিজস্ব বৃত্তাকার DNA আছে।
187,AFMC 2021-2022,মাইটোসিস কোষ বিভাজনের কোন ক্ষেত্রে মেটাকাইনেসিস (Metakinesis) সংঘটিত হয়?,এনাফেজ,প্রফেজ,টেলোফেজ,মেটাফেজ,D,কোষ বিভাজনের মেটাফেজ দশায় স্পিন্ডল যন্ত্রের বিষুবীয় অঞ্চলে ক্রোমোসোমের বিন্যস্ত হওয়াকে মেটাকাইনেসিস বলে।
188,AFMC 2021-2022,কোন প্রক্রিয়ায় RNA হতে DNA তৈরি হয়?,রিভার্স ট্রান্সক্রিপশন,ট্রান্সলেশন,ট্রান্সক্রিপশন,রেপ্লিকেশন,A,বিভার্স ট্রান্সক্রিপশন প্রক্রিয়ায় ভাইরাল RNA থেকে কমপ্লিমেন্টারি DNA তৈরী করা হয়।
189,AFMC 2021-2022,মানব শরীরে কোন লিপিড (Lipid) টি সবচেয়ে বেশী থাকে?,ট্রাই এ্যাসাইল গ্লিসারল,কোলেস্টেরল,লাইপোপ্রোটিন,ফ্যাটি এ্যসিস্ত,B,মানব শরীরে লিপিডের মধ্যে কোলেস্টেরল বেশি থাকে ।
190,AFMC 2021-2022,লার্ভা (Larva) কে সচারচর কোন নামে ডাকা হয়?,Nymph,Nematoda,Cnidaria,Embryo,A,লার্ভাকে সচরাচর Nymph নামে আজকা হয়
191,AFMC 2021-2022,নিচের কোন এনজাইমটি পিত্তরস (Bile) এ থাকে?,ট্রিপসিন,এ্যামাইলেজ,কোনটি নয়,লাইপেজ,C,পিত্তরসে কোন এনজাইম থাকে না।
192,AFMC 2021-2022,নিচের কোনটি সাগর ফোয়ারা (Sea squirt) নামে পরিচিত?,Echinodartala,Cephalochordata,Cephalaspidomorphi,Urochordata,D,Urochordata উপপর্বের প্রাণীগুলোকে
193,AFMC 2021-2022,নিচের কোনটি চর্বিতে দ্রবণীয় ভিটামিন নয়?,ভিটামিন কে,ভিটামিন এ,ভিটামিন ই,ভিটামিন সি,D,"চর্বিতে দ্রবণীয় ভিটামিন A,D,E,K পানিতে দ্রবণীয় ভিটামিন B ও C"
194,AFMC 2021-2022,নিচের কোনটি পাকস্থলীর প্যারাইটাল সেল থেকে নিঃসৃত হয়?,পেপসিন,গ্যাসট্রিন,মিউসিন,ইন্ট্রিনসিক ফ্যাক্টর,B,পাকস্থলীর প্যারাইটাল কোষ থেকে গ্যাস্ট্রিন নিঃসৃত হয়।
195,AFMC 2021-2022,নিচের কোন প্লাজমা প্রোটিন (Plasma protein) টি লিভারে তৈরী হয় না?,Fibrinogen,Immunoglobulin,Prothrombin.,Albumin,B,যকৃত γ গ্লোবিউলিন ছাড়া সকল প্লাজমা প্রোটিন সংশ্লেষ করে।
196,AFMC 2021-2022,নিচের কোন ভিটামিন মানব দেহে তৈরী হয়?,থায়ামিন,নিয়াসিন,রিবোফ্লোভিন,ফলিক এসিড,D,"মানবদেহে ভিটামিন-বি, ভিটামিন-বি,, ফলিক এসিড, বায়োটিন তৈরী হয়।"
197,AFMC 2021-2022,প্যানক্রিয়াসের আইলেটস অব ল্যাঙ্গার হ্যান্স এর কোন কোষ (Cells) থেকে ইনসুলিন নিঃসৃত হয়?,আলফা কোষ,ডেলটা কোষ,পিপি কোষ,বিটা কোষ,D,আলফা কোষ থেকে গ্লুকাগন এবং বিটা কোষ থেকে ইনসুলিন নিঃসৃত হয়।
198,AFMC 2021-2022,এমআরআই (MRI) এর অর্থ কি?,Molecular Resonance Imaging,Magnetic Radiation Imaging,Modern Radiation Imaging,Magnetic Resonance Imaging,D,MRI - Imaging Magnetic Resonance
199,AFMC 2021-2022,নিচের কোনটি যকৃতের সবচেয়ে বড় খন্ড (Lobe)?,Quadrate lobe,Left lobe,Caudate lobe,Right lobe,D,যকৃতের ডান লোব সবচেয়ে বড়।
200,AFMC 2021-2022,প্রাণিজগতের ক্ষুদ্রতম পর্ব (Phylum) কোনটি?,Arthropoda,Mollusca,Placozoa,Annelidia,C,প্রাণিজগতের ক্ষুদ্রতম পর্ব হলো Placozoa।
201,AFMC 2021-2022,আবরণী কলার নিচের কোনটি নড়াচড়ার কাজে ব্যবহৃত হয়?,ডেসমোসোম,মাকুতন্ত্র,ভিলাই,সিলিয়া,D,আবরণী কলায় সিলিয়া নড়াচড়া করার কাজে ব্যবহৃত হয়
202,AFMC 2021-2022,শ্বসনতন্ত্রের উৎপত্তি কোথা থেকে হয়?,Endoderm,Ectoderm,Mesoderm,Teloderm,A,শ্বসনতন্ত্রের উৎপত্তি এন্ডোডার্ম থেকে হয়।
203,AFMC 2021-2022,সিক্রেটিন নিঃসৃত হয় কোথায় থেকে?,Duodenum,Stomach,Pancreas,Liver,A,সিক্রেটিন নিঃসৃত হয় ডিওডেনামের মিউকোসা থেকে।
204,AFMC 2021-2022,রক্তের pH কত?,5.8,7.4,6.8,8.2,B,রক্তের pH এর মান গড়ে 7.4।
205,AFMC 2016-2017,হাইড্রার চলন নয় কোনটি?,সমারসল্টিং,ডিগবাজী,ড্রপিং,লুপিং,C,"হাইড্রার দুটি স্বতন্ত্র চলন পদ্ধতি আছে—লুপিং বা হামাগুড়ি এবং সমারসল্টিং বা ডিগবাজি। এদের মধ্যে হামাগুড়ি ধীরে চলে, আর সমারসল্টিং দ্রুত চলনের জন্য ব্যবহৃত হয়।"
206,AFMC 2016-2017,কম্বোজ প্রাণি কোনটি?,একাইনোডার্মাটা,কর্ডাটা,মলাস্কা,অ্যানেলিডা,C,মোলাস্কা (অথবা মলাস্কা) হল অমেরুদন্ডী প্রাণীর পর্ব। এই পর্বের অধিকাংশ প্রজাতি সামুদ্রিক এবং সাধারণত অগভীর জলে বসবাস করে। এটি বৃহত্তম সামুদ্রিক অমেরুদন্ডী প্রাণী পর্ব।
207,AFMC 2016-2017,রেচনতন্ত্র শিখা কোষ দিয়ে কোনটি গঠিত?,Toxascaris leonina,Angiostrongylus vasorum,Fasciola hepatica,Echinococcus granulosus,C,"Fasciola hepatica, যা সাধারণ লিভার ফ্লুক বা শিপ লিভার ফ্লুক নামে পরিচিত, এটি একটি পরজীবী ট্রেমাটোড। এটি প্লাটিহেলমিন্থেস পর্বের প্রাণী এবং বিভিন্ন স্তন্যপায়ী প্রাণীর লিভার সংক্রমণ ঘটায়।"
208,AFMC 2016-2017,নিডোব্লাস্টের কাজ নয় কোনটি?,খাদ্যগ্রহণ,চলন,পরিপাক,আত্মরক্ষা,C,নিডোব্লাস্ট কোষের সাহায্যে নিডারিয়া পর্বের প্রাণীরা আত্মরক্ষা করে।
209,AFMC 2016-2017,ঘাস ফড়িং এর শ্রেণি বিন্যাস নয় কোনটি?,Class: Insecta,Order: Orthoptera,Class: Pterygota,Kingdom: Animalia,C,"ঘাস ফড়িং-এর শ্রেণিবিন্যাস:
জগৎ: Animalia
পর্ব: Arthropoda
উপপর্ব: Hexapoda
শ্রেণী: Insecta
বর্গ: Orthoptera
উপবর্গ: Caelifera"
210,AFMC 2016-2017,যকৃতের আবরণ কোনটি?,পুরা,ক্যাপস্যুল,গ্লিসন ক্যাপসুল,কোনোটিই নয়,C,যকৃতের আবরণকে গ্লিসন ক্যাপসুল বলা হয়। এটি একটি পাতলা টিস্যু স্তর যা যকৃতকে আবৃত করে।
211,AFMC 2016-2017,কোনটি ওজন বাড়ায় না?,শর্করা,লরকেস্টিন,সবগুলো,কোনোটিই নয়,B,"শর্করা ওজন বাড়ায়, কিন্তু লরকেস্টিন (Lorcaserin) হল একটি ওজন কমানোর ওষুধ।"
212,AFMC 2016-2017,ফাইব্রিন জালক সৃষ্টি করে কত নং ফ্যাক্টর?,ফ্যাক্টর-১৩,ফ্যাক্টর-০৫,ফ্যাক্টর-০৩,ফ্যাক্টর-১০,A,ফ্যাক্টর-১৩ রক্ত জমাট বাঁধার (clotting) সময় ফাইব্রিন জালক তৈরি করে।
213,AFMC 2016-2017,ম্যক্রোলেসিথাল কার ডিম্বাণু?,মানুষ,রুই মাছ,ঘাসফড়িং,কাতল মাছ,A,Telolecithal Egg: এটি এমন ডিম্বাণু যেখানে ডিমের কুসুম অসমভাবে বিভক্ত থাকে এবং বেশি পরিমাণে একদিকে জমা থাকে। তবে ম্যাক্রোলেসিথাল ডিম্বাণু সাধারণত পাখি ও সরীসৃপদের ক্ষেত্রে দেখা যায়।
214,AFMC 2016-2017,কোন পর্বের প্রাণিদের Plannula লার্ভা দশা রয়েছে?,Nematoda,Cnidaria,Platyhelminthes,Porifera,B,Cnidaria পর্বের প্রাণীদের Plannula নামক সিলিয়াযুক্ত লার্ভা দশা রয়েছে।
215,AFMC 2016-2017,মানবদেহে বৃক্কের মাধ্যমে প্রতি মিনিটে কী পরিমাণ রক্ত প্রবাহিত হয়?,1000 ঘনসেমি,124 ঘনসেমি,125 ঘনসেমি,1200 ঘনসেমি,D,মানবদেহে বৃক্কের মাধ্যমে প্রতি মিনিটে 1200 ঘনসেমি রক্ত প্রবাহিত হয়।
217,AFMC 2016-2017,আইলেটস অব ল্যাঙ্গারহ্যানস এর কোষ নয় কোনটি?,আলফা,বিটা,ডেল্টা,গামা,D,"আইলেটস অব ল্যাঙ্গারহ্যানস-এর প্রধান কোষগুলো হলো—
বিটা কোষ: ইনসুলিন উৎপাদন করে (৫০-৮০%)
আলফা কোষ: গ্লুকাগন উৎপাদন করে (১৫-২০%)
ডেল্টা কোষ: সোমাটোস্ট্যাটিন উৎপাদন করে (৩-১০%)
পিপি কোষ: অগ্ন্যাশয়িক পলিউপেপ্টাইড উৎপাদন করে (১%)
গামা কোষ এদের মধ্যে অন্তর্ভুক্ত নয়।"
218,AFMC 2016-2017,নিচের কোন কোষ এন্টিবডি তৈরি করে?,হেল্পার T কোষ,সাইটোটক্সিক T কোষ,প্লাজমা B কোষ,সহজাত মারণ কোষ,C,Plasma B কোষ অ্যান্টিবডি তৈরি করে এবং শরীরের প্রতিরক্ষা ব্যবস্থায় গুরুত্বপূর্ণ ভূমিকা পালন করে।
219,AFMC 2016-2017,পৌষ্টিক নালির প্রাচীরে বিকশিত লসিকা নালিদের কি বলে?,কাইম,কাইল,ল্যাকটিয়েলস,কাইলোমাইক্রন,C,পৌষ্টিক নালির প্রাচীরে বিকশিত লসিকা নালিদের ল্যাকটিয়েলস বলা হয়।
220,AFMC 2016-2017,শ্বাসনালি কোন ধরনের তরুনাস্থি নির্মিত?,ক্যালসিফাইট,হায়ালিন,শ্বেত তন্তুময়,স্থিতিস্থাপক,B,শ্বাসনালি হায়ালিন তরুনাস্থি দ্বারা নির্মিত।
221,MAT 2019-2020,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Interferon,Lactorine,Lysozyme,Defensin,A,"ইন্টারফেরন হলো প্রতিরক্ষামূলক প্রোটিন, যা ভাইরাস আক্রান্ত কোষে উৎপন্ন হয়ে ভাইরাসের সংখ্যাবৃদ্ধিতে বাঁধা দেয়। এটি ক্যান্সার আক্রান্ত কোষের বৃদ্ধিতেও বাঁধা দিয়ে থাকে।"
222,MAT 2019-2020,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Osmosis,Respiration,Transpiration,Diffusion,D,Diffusion বা ব্যাপন প্রক্রিয়ায় Alveolus এ O₂ ও CO₂ গ্যাসের বিনিময় ঘটে।
223,MAT 2019-2020,কোনটি Exocrine গ্রন্থি নয়?,Thyroid gland,Pancreas,Liver,Salivary gland,A,"Thyroid gland থেকে শুধুমাত্র হরমোন (T3, T4 & Calcitonin) নিঃসৃত হয়। তাই এটি Endocrine gland।"
224,MAT 2019-2020,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Myofibril,Ligament,Synovium,Tendon,D,"Tendon (টেন্ডন): অস্থি ও পেশির মধ্যে সংযোগ স্থাপন করে।
Ligament (লিগামেন্ট): দুটি অস্থিকে সংযুক্ত করে।
Myofibril (মায়োফাইব্রিল): পেশি কোষের অভ্যন্তরে বিদ্যমান অতি সূক্ষ্ম তন্তু।
Synovium (সাইনোভিয়াম): সাইনোভিয়াল অস্থিসন্ধির একটি আবরণী।"
225,MAT 2019-2020,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,NaHCO₃ and H₂CO₃,NH₄Cl and NH₄OH,CH₃COONa and CH₃COOH,Na₂HPO₄ and H₃PO₄,A,"মানবদেহের রক্তে তিন ধরনের বাফার সিস্টেম থাকে। যথা- বাইকার্বোনেট বাফার, ফসফেট বাফার ও প্রোটিন বাফার। হিমোগ্লোবিন উৎকৃষ্ট বাফাররূপে রক্তের 'বাইকার্বনেট-কার্বনিক এসিড বাফার'-এর সামান্য (2%) নিয়ন্ত্রণ করে। ফসফেট বাফার সিস্টেম হলো আন্তঃকোষীয় বাফার। আর, প্রোটিন বাফার সিস্টেমটি প্লাজমা প্রোটিন ও হিমোগ্লোবিন প্রোটিন সমন্বয়ে গঠিত।"
226,MAT 2019-2020,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Lipase,Pepsin,Lactase,Isomaltase,B,"Lipase -> স্নেহ পরিপাককারী এনজাইম। Isomaltase, Lactase -> শর্করা পরিপাককারী এনজাইম। Pepsin, Trypsin, Chymotrypsin, Aminopeptidase, Carboxypeptidase, Tri/Di-peptidase ->
প্রভৃতি আমিষ পরিপাককারী এনজাইম।"
227,MAT 2019-2020,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরুণ পদার্থের নাম কী?,Hypnotoxin,Toxin,Hemocyanin,Hemozoin,A,নেমাটোসিস্টের ভেতর হিপনোটক্সিন (Hypnotoxin) নামক বিষাক্ত তরল থাকে যা প্রোটিন ও ফেনল দ্বারা গঠিত।
228,MAT 2019-2020,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Leukocyte,Erythrocyte,Thrombocyte,Hemocyte,D,"প্রাণী (মানুষ): রক্তকণিকা - Leukocyte, Erythrocyte, Thrombocyte
রুই মাছ: Leukocyte, Erythrocyte
ঘাসফড়িং: Hemocyte"
229,MAT 2019-2020,ক্ষুদ্রান্ত্রের কোন জ্বরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Serosa,Muscularis mucosa,Mucosa,Submucosa,C,"ক্ষুদ্রান্ত্রে ৫টি স্তর বিদ্যমান। যথা- সেরোসা, পেশিস্তর, সাবমিউকোসা, মাসকিউলারিস মিউকোসা ও মিউকোসা। সাবমিউকোসা অ্যারিওলার যোজক টিস্যুতে নির্মিত এবং রক্তনালি ও স্নায়ু সমৃদ্ধ। আর, মিউকোসাতে গবলেট কোষ ও শোষণক্ষম"
230,MAT 2019-2020,মাথার খুলিতে কয়টি হাড় রয়েছে?,23,33,29,17,C,NOT GIVEN IN PDF
231,MAT 2019-2020,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Eosinophil,Monocyte,Basophil,Lymphocyte,B,"পরিণত মনোসাইট (Monocyte) কে ম্যাক্রোফেজ (Macrophage) বলা হয়, যা ফ্যাগোসাইটোসিস (phagocytosis) এ সহায়তা করে।"
232,MAT 2019-2020,কোনটি attenuated টিকা?,Diphtheria vaccine,BCG vaccine,Hepatitis B vaccine,Tetanus vaccine,B,"Diphtheria vaccine: টক্সোয়ড (Toxoid)
BCG vaccine: শক্তি হ্রাস (Attenuated)
Hepatitis B vaccine: উপএকক (Sub-unit)
Tetanus vaccine: টক্সোয়ড (Toxoid)"
233,MAT 2019-2020,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব আক্রম করে?,ডিগবাজি (somersaulting),হামাগুড়ি (looping),সাঁতার,গ্লাইডিং (gliding),B,"ডিগবাজি (Somersaulting): এটি Hydra -এর সাধারণ ও দ্রুত চলন প্রক্রিয়া। হামাগুড়ি (Looping): এটি জোঁকা চলন বা গুঁয়াপোকা চলন নামে পরিচিত। এ পদ্ধতিতে হাইড্রা লম্বা দূরত্ব অতিক্রম করে। (মনে রাখোঃ ল তে লুপিং, ল তে লম্বা দূরত্ব!)"
234,MAT 2019-2020,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Cytoplasm,Ribosome,Mitochondria,Chloroplast,C,"ক্রেবস চক্র শ্বসনের একটি ধাপ যা মাইটোকন্ড্রিয়ার ম্যাট্রিক্সে সংঘটিত হয়। Sir Hans Adolf Krebs এটি আবিষ্কার করেন। গ্লাইকোলাইসিস ছাড়া শ্বসনের সবকটি বিক্রিয়া (ক্রেবস চক্র, ETS/ অক্সিডেটিভফসফোরাইলেশন) মাইটোকন্ড্রিয়ায় ঘটে থাকে।"
235,MAT 2019-2020,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Ptyalin,Maltase,Trypsin,Amylase,A,"Ptyalin এনজাইম লালায় পাওয়া যায়। অপরদিকে অগ্ন্যাশয়ে যে সব enzyme পাওয়া যায় সেগুলো হলো-
প্রোটিন পরিপাককারী এনজাইম:
ট্রিপসিন
কাইমোট্রিপসিন
কার্বোক্সিপেপটাইডেজ
অ্যামিনোপেপটাইডেজ
ট্রাইপেপটাইডেজ
ডাইপেপটাইডেজ
কোলাজিনেজ
শর্করা পরিপাককারী এনজাইম:
অ্যামাইলেজ
মল্টেজ
লিপিড পরিপাককারী এনজাইম:
লাইপেজ
ফসফোলাইপেজ
কোলেস্টেরল এস্টারেজ"
236,MAT 2019-2020,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Arthropoda,Porifera,Mollusca,Annelida,A,"প্রাণিজগতের বৃহত্তম পর্ব Arthropoda। এ পর্বে 12,57,040 প্রজাতির প্রাণী রয়েছে। আর দ্বিতীয় বৃহত্তম পর্ব হলো মলাস্কা। এ পর্বে 84,977 প্রজাতির প্রাণী রয়েছে।"
237,MAT 2019-2020,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Right lobe,Quadrate lobe,Left lobe,Caudate lobe,A,NOT GIVEN IN PDF
238,MAT 2019-2020,গ্রোথ হরমোন কোথায় তৈরি হয়?,Thalamus,Hypothalamus,Adrenal gland,Pituitary gland,D,অগ্র পিটুইটারি গ্রন্থি থেকে বৃদ্ধিপোষক হরমোন (STH) বা Growth hormone তৈরি ও নিঃসৃত হয়। অগ্র পিটুইটারি গ্রন্থি থেকে আর যে সব হরমোন নিঃসৃত হয়- Prolactin।
239,MAT 2019-2020,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Sperm,Ribosome,Lysosome,Enzyme,B,"Golgi complex থেকে যা যা তৈরি বা সংশ্লেষিত (synthesis) হয়:
লাইসোসোম ও ভিটামিন
অ-প্রোটিন জাতীয় পদার্থ
প্রোটিন, হেমিসেলুলোজ, মাইক্রোফাইব্রিল
কোষপ্লেট
শুক্রাণু (Sperm) এর অ্যাক্রোসোম
এনজাইম ও হরমোন/প্রাণরস (ক্ষরণ)"
240,MAT 2019-2020,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,থাইমাস,অগ্ন্যাশয়,প্লীহা,অস্থি মজ্জা,"A,C","ভ্রূণীয় জীবনে লোহিত কণিকাসমূহ কুসুম থলি (৩ সপ্তাহ বয়সে), যকৃত, প্লীহা ও থাইমাস (৬ মাস বয়স পর্যন্ত) থেকে উৎপন্ন হয়। ভূমিষ্ট হওয়ার পর থেকে, পর্ত্তকা, কশেরুকা, স্টার্নাম ও শ্রোণিচক্রের লাল অস্থিমজ্জায় বড় নিউক্লিয়াসযুক্ত এরিথ্রোব্লাস্ট নামক স্টেমকোষ থেকে অবিরাম লোহিত কণিকার উৎপত্তি ঘটে।"
241,MAT 2019-2020,নিচের কোন গ্রন্থিটি ভিন্ন প্রকৃতির?,শুক্রাশয়,অগ্ন্যাশয়,এড্রেনাল,ডিম্বাশয়,C,"শুক্রাশয়, অগ্ন্যাশয় ও ডিম্বাশয় তিনটিই মিশ্র গ্রন্থি, অর্থাৎ এরা সকলেই একাধারে বহিঃক্ষরা ও অন্তঃক্ষরা প্রকৃতির। অপরদিকে এড্রেনাল গ্রন্থি শুধুমাত্র অন্তঃক্ষরা প্রকৃতির।"
242,MAT 2019-2020,কবুতর' কোন শ্রেণির প্রাণী?,Amphibia,Actinopterygii,Reptilia,Aves,D,"Chondrichthyes: স্টিং রে, থুট্রি হাঙ্গর, হাতুড়ী হাঙ্গর
Actinopterygii: ইলিশ মাছ, রুই মাছ, টাকি মাছ প্রভৃতি
Sarcopterygii: সিলাকাস্থ, লাংফিশ
Amphibia: স্যালামান্ডার, সোনাব্যাঙ, গেছোব্যাঙ, উড়কু ব্যাঙ, আসমতি ব্যাঙ প্রভৃতি
Reptilia: ঘড়িয়াল, টিকটিকি, কড়িকাইট্টা, কচ্ছপ, গোখরা সাপ প্রভৃতি
Aves: কাক, কবুতর, দোয়েল, চড়ুই, তিতির, কুকা প্রভৃতি
Mammalia: ডলফিন, ইঁদুর, ক্যাঙ্গারু, বাঘ"
243,MAT 2019-2020,মানবদেহের কোন অঙ্গ ফিব্রিনোজেন তৈরি করে?,ক্ষুদ্রান্ত্র,অগ্ন্যাশয়,যকৃত,ফুসফুস,C,"যকৃত গ্লোবিউলিন ছাড়া প্রায় সকল ধরনের প্লাজমা প্রোটিন সংশ্লেষ করে। যকৃতে যেসব প্লাজমা প্রোটিন সংশ্লেষিত হয় সেগুলো হচ্ছে: অ্যালবুমিন, লিপোপ্রোটিন, ট্রান্সফেরিন, সেরোপ্লাজমিন, গ্লোবিউলিন, α1, ফেটোপ্রোটিন এবং রক্ত তঞ্চন ফ্যাক্টর । (ফিব্রিনোজেন), II (প্রোগ্রন্থিন), V, VII, IX, X, XI, XII."
244,MAT 2019-2020,নিচের কোনটি দ্বিস্তরী?,ফিতা কৃমি,হাইড্রা,জোঁক,ম্যালেরিয়ার জীবাণু,B,"নিডারিয়া পর্বের সকল প্রাণী দ্বিস্তরী। এ পর্বের অন্যান্য গুরুত্বপূর্ণ প্রাণিগুলো হলো- জেলি ফিশ, নীল বুতাম, সমুদ্রের পাখা, ভাসমান সন্ত্রাস, টিউব অ্যানিমন, সমুদ্রের কলম প্রভৃতি।"
245,MAT 2019-2020,সবচেয়ে বেশি খাদ্যসার শোষণ হয় কোথায়?,জেজুনামে,সিকামে,পাকস্থলিতে,ডিওডেনামে,A,"খাদ্যের ৯০% শোষণ ঘটে ক্ষুদ্রান্ত্রে, বাকি ১০% ঘটে বৃহদন্ত্র ও পাকস্থলিতে। ক্ষুদ্রান্ত্রের ডিওডেনামে অধিকাংশ পরিপাক এবং জেজুনাম ও ইলিয়ামে অধিকাংশ খাদ্যসার শোষণ ঘটে।"
246,MAT 2019-2020,সর্বজনীন গ্রহীতা Blood group কোনটি?,O,AB,B,A,B,"AB ব্লাড গ্রুপে কোনো অ্যান্টিবডি না থাকায় এটি সর্বজনীন গ্রহীতা ব্লাড গ্রুপ। অপরদিকে, ০ ব্লাড গ্রুপে কোনো অ্যান্টিজেন না থাকায় এটি সর্বজনীন দাতা ব্লাড গ্রুপ।"
247,MAT 2019-2020,মানবদেহের কোন অঙ্গে সর্বোচ্চ সংখ্যক গবলেট কোষ পাওয়া যায়?,বৃহদন্ত্র,যকৃত,ফুসফুস,ক্ষুদ্রান্ত,A,বৃহদন্ত্রের মিউকোসা স্তরে অবস্থিত গবলেট কোষ মিউকাস ক্ষরণ করে বৃহদন্ত্রের অভ্যন্তর ভাগ পিচ্ছিল রাখে।
